0.72315,0.72719,0.71687
0.7182,0.72151,0.7115
0.71617,0.71908,0.70918
0.71676,0.7198,0.70987
0.71567,0.71848,0.70861
0.73767,0.74203,0.73165
0.75158,0.75417,0.74584
0.74072,0.74486,0.73472
0.73341,0.73793,0.72737
0.72822,0.73265,0.72212
0.72362,0.72771,0.71737
0.72169,0.72555,0.71532
0.72006,0.72368,0.71355
0.71638,0.71934,0.70943
0.71366,0.71599,0.70621
0.71187,0.71373,0.70401
0.71115,0.71281,0.7031
0.70818,0.70889,0.69917
0.71159,0.71336,0.70365
0.71974,0.72331,0.7132
0.71393,0.71633,0.70654
0.70939,0.7105,0.70081
0.70549,0.70522,0.69535
0.70503,0.70458,0.69468
0.70401,0.70315,0.69314
0.70121,0.69911,0.68866
0.6992,0.6961,0.6852
0.69988,0.69713,0.68639
0.6974,0.69334,0.68191
0.6967,0.69226,0.68059
0.69546,0.6903,0.67816
0.69302,0.68634,0.67311
0.69174,0.68422,0.67032
0.69282,0.68602,0.67269
0.6938,0.68762,0.67477
0.70732,0.70773,0.69798
0.70485,0.70432,0.6944
0.69911,0.69597,0.68505
0.69382,0.68766,0.67482
0.69218,0.68495,0.67129
0.69029,0.68176,0.66702
0.68872,0.67904,0.6633
0.68818,0.67808,0.66197
0.68662,0.6753,0.65806
0.68429,0.67102,0.65196
0.68378,0.67007,0.65058
0.68212,0.6669,0.64601
0.68177,0.66622,0.64503
0.68346,0.66947,0.64972
0.69118,0.68328,0.66907
0.68493,0.67221,0.65366
0.68251,0.66766,0.64711
0.68108,0.66488,0.64309
0.68178,0.66624,0.64505
0.68089,0.66451,0.64256
0.67906,0.66085,0.63728
0.67605,0.65462,0.62846
0.67464,0.6516,0.6243
0.67491,0.65218,0.62509
0.67501,0.65239,0.62538
0.6735,0.6491,0.62093
0.6704,0.64209,0.61193
0.66946,0.6399,0.60926
0.67178,0.64526,0.61591
0.67043,0.64216,0.61201
0.6654,0.63,0.59823
0.67924,0.66123,0.63782
0.6746,0.65151,0.62418
0.6713,0.64416,0.61451
0.66987,0.64087,0.61043
0.6679,0.63618,0.60492
0.66645,0.63263,0.60099
0.66431,0.62723,0.59546
0.66234,0.62208,0.59065
0.66254,0.62262,0.59113
0.66162,0.62017,0.58898
0.66032,0.61664,0.58607
0.65934,0.61392,0.58396
0.65683,0.60676,0.57897
0.65731,0.60816,0.57988
0.65585,0.60387,0.57716
0.65546,0.60271,0.57647
0.66024,0.61643,0.5859
